id,alpha,theta,sigma,eta,n_origins,pearson_correlation,covariance_population,epsilon_weighted,epsilon_origin_mean,epsilon_composition_gap,omega_max,epsilon_origin_sd,amenity,productivity,employment,wage,markdown
163560221,0.8,1.42,0.12,0.4,128,-0.9986165062403557,-0.0019830090181332753,11.575150855917302,11.828976010238357,-0.25382515432105457,0.680395504982328,0.03224077642895454,-0.3644050942881501,0.9185481003619895,4.55582146711018e-5,0.9515133593994071,1.0863919626143612
163560395,0.8,1.42,0.12,0.4,128,-0.99999997778869,-0.020005918531425998,9.252389154532093,11.81314672655462,-2.5607575720225277,0.9994103151396709,0.22825900567494387,0.04176727154921854,0.6909725458689404,0.00010574005379894528,0.5929998249240106,1.1080801924019992
163560635,0.8,1.42,0.12,0.4,128,-0.989017868686579,-5.408368649327777e-5,11.826256661240361,11.833179373111497,-0.006922711871135689,0.6392557820230131,0.0009592121769723095,0.2898695271304139,0.4451766139631464,4.499576757708433e-6,0.7339361054486409,1.0845576101250551
163560758,0.8,1.42,0.12,0.4,128,-0.9991899139032548,-0.006709471927704289,10.96463299887703,11.823445405623175,-0.8588124067461447,0.8443691260940882,0.0906923376142781,1.198266499225543,0.5136125552750964,0.00023735267396847006,0.3807714642696555,1.0912023229689873
163560993,0.8,1.42,0.12,0.4,128,-0.9848146228793133,-0.001669291446104492,11.611051013210819,11.824720318312195,-0.2136693051013765,0.33919431009442785,0.04424714293920218,1.7634232858762948,0.3074341354682415,0.00017998307030799734,0.2420131011011175,1.0861248476871062
163561136,0.8,1.42,0.12,0.4,128,-0.9991783362173012,-0.005368438540239666,11.131841903400748,11.819002036551433,-0.6871601331506856,0.5864551386225308,0.10211242187133643,1.2809641692737677,0.24829690791469886,0.00012711304339637624,0.20882690198670603,1.0898323932982288
163561937,0.8,1.42,0.12,0.4,128,-0.991621745086482,-0.0031801516846500285,11.399208098999711,11.806267514634916,-0.40705941563520476,0.19313951911846833,0.10500819353714899,1.0461404419467777,0.3366897405884549,0.00023510288557388568,0.2508833813421493,1.0877253920899779
163562163,0.8,1.42,0.12,0.4,128,-0.9797912158495249,-0.0031051820786023436,11.41141936918821,11.808882675249308,-0.39746330606109836,0.24143652714352865,0.10023793731829965,-0.2563158122473155,0.8159696701347068,0.00013498730272806068,0.679432814581609,1.0876315178373064
163562198,0.8,1.42,0.12,0.4,128,-0.933935736192728,-6.731731532207655e-5,11.82429479844396,11.832911414805187,-0.008616616361226903,0.2578839127015031,0.002079466980691583,0.10704808379781257,0.5663079384905763,6.749365136564914e-6,0.8609039312879074,1.0845716397506933
163562358,0.8,1.42,0.12,0.4,128,-0.9999999997674068,-0.01961782474668838,9.30246635145314,11.81354791902925,-2.5110815675761113,0.9996538400592289,0.22377605866484435,-0.291222082347565,1.402541676947855,0.00035659145804593876,0.9443899599693529,1.107498373250637
