η,θ,σ,α,β_labor_bigMA,β_labor_bigMA_wdiff,β_wage_bigMA,objective
0.9,10,0.25,0.8,-0.0562,0.0971,0.0116,0.0134
0.9,10,0.5,0.8,-0.0505,0.0892,0.0105,0.0148
0.9,7,0.25,0.8,-0.0475,0.0901,0.0100,0.0151
0.9,10,1,0.8,-0.0345,0.0716,0.0072,0.0191
0.7,10,0.25,0.8,-0.0291,0.0736,0.0062,0.0198
0.9,3,0.25,0.8,-0.0272,0.0615,0.0058,0.0218
0.7,5,0.25,0.8,-0.0211,0.0589,0.0045,0.0233
0.9,7,1,0.8,-0.0213,0.0560,0.0045,0.0237
0.7,7,0.5,0.8,-0.0180,0.0563,0.0039,0.0243
0.9,5,0.75,0.8,-0.0180,0.0513,0.0039,0.0251
0.7,10,1,0.8,-0.0149,0.0517,0.0032,0.0257
0.5,10,0.25,0.8,-0.0107,0.0505,0.0024,0.0267
0.7,3,0.25,0.8,-0.0152,0.0442,0.0032,0.0269
0.7,5,0.5,0.8,-0.0130,0.0455,0.0028,0.0271
0.5,7,0.25,0.8,-0.0103,0.0451,0.0022,0.0278
0.9,5,1,0.8,-0.0121,0.0420,0.0026,0.0280
0.5,10,0.5,0.8,-0.0078,0.0443,0.0017,0.0285
0.7,7,1,0.8,-0.0091,0.0399,0.0020,0.0290
0.5,5,0.25,0.8,-0.0094,0.0388,0.0020,0.0292
0.5,10,0.75,0.8,-0.0055,0.0384,0.0012,0.0301
0.5,7,0.5,0.8,-0.0062,0.0366,0.0014,0.0303
0.9,3,0.75,0.8,-0.0072,0.0321,0.0016,0.0310
0.7,3,0.5,0.8,-0.0070,0.0303,0.0015,0.0314
0.5,3,0.25,0.8,-0.0071,0.0288,0.0014,0.0317
0.7,5,1,0.8,-0.0047,0.0297,0.0011,0.0320
0.5,7,0.75,0.8,-0.0038,0.0302,0.0009,0.0322
0.5,5,0.5,0.8,-0.0047,0.0291,0.0010,0.0322
0.9,1,0.25,0.8,-0.0077,0.0257,0.0015,0.0323
0.3,10,0.25,0.8,-0.0020,0.0282,0.0005,0.0330
0.9,3,1,0.8,-0.0026,0.0255,0.0006,0.0334
0.5,7,1,0.8,-0.0021,0.0253,0.0005,0.0336
0.3,7,0.25,0.8,-0.0025,0.0244,0.0005,0.0337
0.7,3,0.75,0.8,-0.0023,0.0229,0.0006,0.0341
0.3,10,0.5,0.8,-0.0004,0.0234,0.0001,0.0344
0.3,5,0.25,0.8,-0.0028,0.0207,0.0005,0.0345
0.5,3,0.5,0.8,-0.0021,0.0194,0.0004,0.0349
0.3,7,0.5,0.8,-0.0008,0.0188,0.0002,0.0354
0.3,10,0.75,0.8,0.0001,0.0197,0.0000,0.0354
0.5,5,1,0.8,0.0002,0.0189,0.0000,0.0356
0.3,3,0.25,0.8,-0.0020,0.0152,0.0003,0.0360
0.7,3,1,0.8,0.0021,0.0184,-0.0003,0.0362
0.3,5,0.5,0.8,-0.0005,0.0149,0.0001,0.0364
0.3,7,0.75,0.8,0.0003,0.0152,-0.0001,0.0365
0.5,3,0.75,0.8,0.0030,0.0148,-0.0005,0.0372
0.3,7,1,0.8,0.0024,0.0128,-0.0004,0.0376
0.9,1,0.5,0.8,0.0057,0.0151,-0.0009,0.0378
0.5,1,0.25,0.8,0.0036,0.0125,-0.0005,0.0379
0.9,0.5,0.25,0.8,0.0063,0.0138,-0.0009,0.0382
0.1,10,0.25,0.8,0.0000,0.0075,-0.0001,0.0383
0.1,7,0.25,0.8,0.0002,0.0061,-0.0001,0.0388
0.5,3,1,0.8,0.0083,0.0121,-0.0016,0.0392
0.1,10,0.5,0.8,0.0018,0.0054,-0.0004,0.0393
0.3,5,1,0.8,0.0070,0.0098,-0.0013,0.0394
0.1,5,0.25,0.8,0.0019,0.0049,-0.0003,0.0394
0.7,1,0.5,0.8,0.0111,0.0111,-0.0020,0.0401
0.1,7,0.5,0.8,0.0047,0.0043,-0.0009,0.0403
0.1,10,0.75,0.8,0.0050,0.0044,-0.0010,0.0403
0.7,0.5,0.25,0.8,0.0116,0.0102,-0.0021,0.0405
0.1,0.5,1,0.8,0.0025,0.0004,-0.0005,0.0408
0.1,3,0.25,0.8,0.0063,0.0036,-0.0012,0.0408
0.3,3,0.75,0.8,0.0106,0.0077,-0.0020,0.0409
0.1,0.5,0.75,0.8,0.0031,0.0005,-0.0006,0.0409
0.1,10,1,0.8,0.0072,0.0040,-0.0014,0.0410
0.9,1,0.75,0.8,0.0144,0.0108,-0.0028,0.0411
0.1,0.5,0.5,0.8,0.0043,0.0007,-0.0009,0.0411
0.1,1,1,0.8,0.0044,0.0007,-0.0009,0.0411
0.1,5,0.5,0.8,0.0075,0.0035,-0.0015,0.0412
0.1,7,0.75,0.8,0.0078,0.0036,-0.0015,0.0412
0.3,1,0.25,0.8,0.0111,0.0067,-0.0021,0.0413
0.1,1,0.75,0.8,0.0054,0.0009,-0.0011,0.0413
0.1,0.5,0.25,0.8,0.0068,0.0012,-0.0014,0.0416
