eta,theta,beta1,beta2,beta3,beta4,objective,converged,max_gap,max_iter
0.05,0.08,-0.030703311473000944,0.014222471946380252,-0.01626451332157588,0.0018413811403110774,0.006993584104126557,True,1.689636389556881e-05,26
0.025,0.16,-0.02936318509263908,0.013601726494725066,-0.01555031074326148,0.0017604592809291227,0.006995717087085999,True,1.5501772292481064e-05,25
0.02,0.2,-0.028736068408361605,0.013311244797723313,-0.015216285843826132,0.0017226154522484113,0.0069985818374773325,True,1.767109224459773e-05,24
0.0175,0.25,-0.030501930338300433,0.01410007168321896,-0.01626585005467169,0.001843746535190928,0.00699903125993462,True,1.5161314257383651e-05,24
0.015,0.3,-0.03054161527519246,0.014108603306953512,-0.01632419313643019,0.001851103809896951,0.007000920620028951,True,1.7355735378643544e-05,23
0.03,0.12,-0.027120426206806575,0.012590072313652324,-0.01425660963660678,0.0016118231843813351,0.0070067699372231024,True,1.70519623861054e-05,25
0.01,0.5,-0.030665200123128435,0.014125828507305538,-0.016543050375158505,0.0018789201901093198,0.007008822000366219,True,1.6322017047265547e-05,21
0.0125,0.4,-0.03214155671541846,0.014805857289583682,-0.01734512081932685,0.0019701061183175364,0.007013740332949696,True,1.7406818489718034e-05,22
0.015,0.25,-0.02630206247608501,0.01220033571171185,-0.013860092102623294,0.0015677204669972305,0.007018145758307637,True,1.8359884187635345e-05,23
0.0075,0.75,-0.030757003922462948,0.014117153148255695,-0.016791649363873073,0.0019109098452344316,0.007019347358267282,True,1.4487190121315052e-05,19
0.01,0.4,-0.025963666339668037,0.012027050588668705,-0.013740944452602868,0.0015554824499188049,0.007025492417425267,True,1.9913550100891797e-05,22
0.0125,0.3,-0.02563523319900173,0.011891034474759893,-0.013507034898811795,0.0015277608278372289,0.0070275053503265645,True,1.4572484819286302e-05,23
0.0175,0.2,-0.02526371532448105,0.01173443627399215,-0.013253233037107038,0.0014978313328947283,0.007030726338673783,True,1.5549528655345313e-05,24
0.04,0.08,-0.02475061068076679,0.011514398829664912,-0.012917415916621097,0.001458447271386001,0.007036602397622091,True,1.8502916534046676e-05,25
0.02,0.25,-0.03464346766885998,0.015958255157109018,-0.018705824381882778,0.002124822990957054,0.007037230128233074,True,1.7216186210866624e-05,24
