eta,theta,beta1,beta2,beta3,beta4,objective,converged,max_gap,max_iter
0.13,0.03,-0.030844934214895234,0.014295851305162224,-0.016311347328311188,0.001846094808517089,0.006992237443598306,True,1.579755033898067e-05,27
0.05,0.08,-0.030703311473000944,0.014222471946380252,-0.01626451332157588,0.0018413811403110774,0.006993584104126557,True,1.689636389556881e-05,26
0.08,0.05,-0.031237964161010597,0.01447012110328538,-0.016549608952536706,0.001873685607938349,0.006994250605629383,True,1.9642394465613222e-05,26
0.1,0.04,-0.031420347185394215,0.014554600036160607,-0.016646883537719964,0.001884708161027509,0.006994676045024772,True,1.5363010093860652e-05,27
0.025,0.16,-0.02936318509263908,0.013601726494725066,-0.01555031074326148,0.0017604592809291227,0.006995717087085999,True,1.5501772292481064e-05,25
0.2,0.02,-0.03179158062764276,0.014726553228811091,-0.016844916579842908,0.0019071484734836297,0.006995853389593611,True,1.7041210968571363e-05,27
0.035,0.12,-0.031457667181878445,0.01455592264343518,-0.016726099610803947,0.0018949000764351084,0.006997799405190642,True,1.9750013465991145e-05,25
0.065,0.065,-0.032637937960434765,0.015099937376010902,-0.01736583161974926,0.001967599243404931,0.007003698841201126,True,1.9189950202669337e-05,26
0.035,0.1,-0.026690051476016483,0.012396913013921533,-0.014005257259142772,0.0015828775517377552,0.007010530618221756,True,1.829660285812551e-05,25
0.16,0.02,-0.025629209718396353,0.011923122074797936,-0.01337823983374054,0.0015105089311639546,0.0070219353361972185,True,1.8447877446092775e-05,26
0.065,0.05,-0.025563777142518344,0.011889553206525941,-0.013354998329834316,0.0015081256155158379,0.007023440753256167,True,1.6116637492125108e-05,26
0.08,0.04,-0.02532948946677697,0.011783692851946113,-0.013221008304569709,0.001492745324085214,0.007026677470218108,True,1.6694753074197877e-05,26
0.05,0.065,-0.02534281423591066,0.011786788634767778,-0.013238995902406672,0.0014950179088322087,0.0070269484220486875,True,1.996087347810871e-05,26
0.1,0.03,-0.023930453441683184,0.011144519680671544,-0.012446382496624515,0.0014043316039799056,0.00705062477962056,True,1.6498040896539834e-05,26
0.025,0.12,-0.022727055110496823,0.010584109627658034,-0.011817828565953361,0.0013333743593471675,0.007077572651591051,True,1.9556936271314385e-05,24
0.16,0.03,-0.03762203707474917,0.0173498625022679,-0.02025227129052016,0.0022992305228001337,0.007085684398543809,True,1.9216527000320838e-05,27
0.05,0.1,-0.03756790682256002,0.017305247404504363,-0.020298827208831763,0.0023059877506981575,0.007088879294330855,True,1.886356736324757e-05,26
0.035,0.08,-0.02173644565055524,0.01013329215504345,-0.011264079151218909,0.0012700490499359717,0.007101519997930268,True,1.6274144749139907e-05,25
