η,θ,β1,β2,objective
6.0,2.0,0.015314678856738737,0.0634447784338009,0.01249940431962489
8.0,2.0,0.01741538161323077,0.06816401159697257,0.012689993800290025
4.0,2.0,0.015285338433650257,0.05327323590586861,0.0132172564879776
8.0,1.5,0.024986963767873637,0.07316443446907832,0.014174939935131574
6.0,1.5,0.02385035055913541,0.06653016353136344,0.014229637790436052
3.0,2.0,0.01678733180591889,0.04372892197601452,0.014410204788200705
4.0,1.5,0.02468015587637427,0.05297261930731878,0.015350469011411093
2.0,2.0,0.0185014191894181,0.029893915560893724,0.016368119618780798
3.0,1.5,0.025909871734077786,0.04155495959836656,0.01670578623072999
8.0,1.0,0.038110311805641325,0.07803726037283462,0.017245147383382252
1.5,2.0,0.01847826298036688,0.02183690927563347,0.017460212000691734
6.0,1.0,0.0383812698940911,0.06843112793434492,0.017713983256914693
0.25,0.25,0.0030965508384792275,0.0007910541122464208,0.01776923958344523
0.25,0.5,0.005312734012660775,0.0013940197463405525,0.01808473887899009
0.5,0.25,0.006373171155166927,0.0015768190299577925,0.018258957438089647
0.25,0.75,0.006915001027489293,0.0018674920520709195,0.01831249623759926
0.25,1.0,0.008070887087279375,0.002248168827163893,0.018473093322291845
2.0,1.5,0.02626821517898852,0.027135241201252075,0.01850975172921941
1.0,2.0,0.01793630919674356,0.013891514322442112,0.018549661749000777
0.25,1.5,0.009454535413582333,0.0028207387971583807,0.01864791228514738
0.25,2.0,0.010012986028658341,0.003230696051786384,0.018687253669770806
0.75,0.25,0.009906980093806103,0.00237800281287437,0.018821035281257174
0.5,0.5,0.010616307954192489,0.0027839866530360775,0.018892258705201816
0.75,2.0,0.017318880832948188,0.010107021611203061,0.019034321634964803
0.5,2.0,0.015243152418359393,0.006533242412902297,0.01919588395753799
0.5,0.75,0.013352405278382056,0.0037368827977540893,0.019289757754214987
1.5,1.5,0.02517929974791983,0.019541834827171336,0.019325304027275038
4.0,1.0,0.03975944476552695,0.050308762954546,0.019329506369375558
1.0,0.25,0.013756037307819246,0.003215921434080373,0.01946943651158767
0.5,1.0,0.014989398092639628,0.004507913766491756,0.01949962231607552
0.5,1.5,0.016027662494926397,0.005679978335602043,0.019515064093930192
0.75,0.5,0.016012684495274484,0.004231287457403056,0.01976969048098562
1.0,1.5,0.022751679405435855,0.012204602093346999,0.01990691911453998
0.75,1.5,0.020254869366770276,0.00879528043246755,0.019907978935553648
8.0,0.75,0.048362855541456425,0.07946802790058563,0.01997964122560934
0.75,0.75,0.019413565535952537,0.005720324596923177,0.02025258796491593
0.75,1.0,0.02088776367254487,0.006940570414546403,0.020370115430226474
3.0,1.0,0.03960168089313698,0.03727021389309916,0.02059609122404475
1.0,0.5,0.02150983516936592,0.005799972917409625,0.020711053271662085
6.0,0.75,0.04934170551003388,0.06750060292739282,0.020745860155868382
1.0,1.0,0.025749526888478418,0.00966217395850842,0.02102753382026381
1.5,0.25,0.022505493090361862,0.005105120350912934,0.021061554836068846
1.0,0.75,0.02504007436418928,0.007921842081200399,0.021157047330372093
2.0,1.0,0.0363055398332751,0.023000068161294736,0.021559285216468275
1.5,1.0,0.032444824920567744,0.016008691158463415,0.021622665211969042
4.0,0.75,0.049965216729676,0.04666117766854356,0.022459740004437408
1.5,0.75,0.03435077720380547,0.013236109581553553,0.02254151266947875
1.5,0.5,0.03234726432641391,0.009569190525405296,0.022643702785758058
2.0,0.25,0.03238034846296269,0.007507449917828476,0.0230041679965339
2.0,0.75,0.040689463242229267,0.01956794649277825,0.023204430812616944
3.0,0.75,0.04763656226694656,0.03319844663035364,0.023257553231136843
8.0,0.5,0.06258815198240689,0.07825164526086095,0.02421901842527268
2.0,0.5,0.04165583981964178,0.014451729099312022,0.02424964010433733
6.0,0.5,0.0636211309821692,0.06282727841935858,0.025262344035781502
3.0,0.5,0.05388948386073549,0.02637748122604698,0.025921334353790692
4.0,0.5,0.060652977454260716,0.039392969867035194,0.026354052951309857
3.0,0.25,0.05071034290756453,0.01474267042182452,0.026710203139202145
4.0,0.25,0.06394375386279601,0.02455219895984514,0.029210946712562337
8.0,0.25,0.0816182814151498,0.06802469776407154,0.03089985582095839
6.0,0.25,0.07879184890168031,0.04797683470204231,0.031366707091035034
