commute_weight,η,θ,β1,β2,objective
2.0,1.0,16.0,-0.09881540803537248,0.08289925582688028,0.00016547234190348938
4.0,0.5,32.0,-0.07754790069389111,0.090688897106991,0.00022659378308419054
4.0,0.5,16.0,-0.07464457974432691,0.08854601050701577,0.0003389425962084665
4.0,0.75,4.0,-0.11090514249937893,0.07991408834750904,0.0005455022129701374
2.0,1.0,32.0,-0.11787796101925373,0.0908063237539981,0.000667126107761571
4.0,0.5,8.0,-0.06078400393950654,0.07790880038504638,0.0012471341790738048
8.0,0.25,16.0,-0.05525076219585408,0.08650740088398351,0.0014238407519231125
8.0,0.25,32.0,-0.05395654622564624,0.08572104041257353,0.0015335987653243136
2.0,1.0,8.0,-0.06113536540923959,0.06873042499689896,0.0016039775756251711
8.0,0.25,8.0,-0.04708640507000416,0.08069803072558357,0.002214814760982511
2.0,0.75,32.0,-0.04598276472910672,0.07413596945974889,0.002532770278744884
2.0,0.75,16.0,-0.04324624127186228,0.06908992588621199,0.0030189308815023958
4.0,0.5,4.0,-0.030399355374655834,0.05588662398929991,0.005273828153726688
8.0,0.25,4.0,-0.027048930098020688,0.05988308423780828,0.005411134024947537
16.0,0.25,4.0,-0.15778214659373294,0.12940338731154294,0.005551992635605227
2.0,0.75,8.0,-0.026744367162413553,0.05623423235187388,0.005712909383844144
2.0,1.0,4.0,-0.01583534149279568,0.0482912115707699,0.007923296031561316
2.0,0.5,16.0,-0.006651907715361222,0.04782284050546686,0.00945397843565051
2.0,0.5,32.0,-0.0036314342971392197,0.05242523483623895,0.009576678340283641
4.0,0.25,16.0,-0.005816352091610829,0.04744193849626271,0.009632997048269814
4.0,0.25,32.0,-0.0033264536253737004,0.04993639601462342,0.009843743941981687
4.0,0.75,8.0,-0.19413664617102,0.10116389502927418,0.010434465461425365
8.0,0.5,4.0,-0.19418217359993992,0.11468278321190829,0.010821377809366118
1.0,1.0,32.0,0.004544211308870237,0.05466205475373282,0.010911624126737171
4.0,0.25,8.0,-0.0035987392494169585,0.037970836550176745,0.010992022188412732
2.0,0.75,4.0,-0.0037749153542311537,0.035654135130893876,0.01122559081505201
2.0,0.5,8.0,-0.0028764671207543785,0.036609182049959214,0.011274913342854603
1.0,1.0,16.0,0.003036086507244308,0.045284657416525154,0.011446862028952487
1.0,0.75,16.0,0.006591972464800004,0.035040123777972054,0.013239293500308388
4.0,0.25,4.0,-0.0009982504889055018,0.02319588217233908,0.013332486860195641
1.0,0.75,32.0,0.010890824786094492,0.04190168770666288,0.013346083031253828
1.0,1.0,8.0,0.0065452086167091935,0.032086196346257076,0.01358684706048758
2.0,0.5,4.0,0.0013864104543696522,0.02135009635966409,0.014037969093795302
2.0,0.25,32.0,0.007147661060846869,0.026622521466566698,0.014412169390930877
2.0,0.25,16.0,0.004802779929094951,0.02244641865783608,0.01453138104504937
1.0,0.75,8.0,0.0061841850758050446,0.02330502327895726,0.014679345071440674
1.0,0.5,16.0,0.007016240355500472,0.022051811944161254,0.015022482442877783
1.0,0.5,32.0,0.01090280953247159,0.027475714298635733,0.015058546600960563
2.0,0.25,8.0,0.0020118915427042813,0.014847914673299127,0.015141964343335776
1.0,1.0,4.0,0.007361110128602313,0.019434068138193004,0.015474372397888146
1.0,0.5,8.0,0.0035118299985806008,0.01365661919155584,0.015616866817247414
4.0,1.0,4.0,-0.2187930173907352,0.08683551570773757,0.016065868419920814
1.0,0.75,4.0,0.006736072754666695,0.01379306258456947,0.016222835584485742
1.0,0.25,16.0,0.002467746392723941,0.008755578690168016,0.01622913305381827
1.0,0.25,32.0,0.0060610441221325435,0.012612884559931752,0.016280272256539646
2.0,0.25,4.0,0.004750012872166836,0.008956406337968776,0.016632466483548658
1.0,0.25,8.0,0.00311122969837405,0.005424899642104109,0.016930082675841077
1.0,0.5,4.0,0.007679605820880401,0.008702687152463385,0.0172525399148662
16.0,0.25,8.0,-0.21452812868696558,0.14918299202820126,0.018003862690986083
1.0,0.25,4.0,0.008499469288027323,0.004185041913951099,0.01820775832120579
4.0,0.75,16.0,-0.23825509911889103,0.11222718836534261,0.021653643167646563
16.0,0.25,16.0,-0.23912955481234535,0.1536962158945853,0.02514478741391552
4.0,0.75,32.0,-0.25319300742974915,0.11719981428008446,0.026445478451373947
8.0,0.5,8.0,-0.2692492030577188,0.13953651474183104,0.03340908767818204
8.0,0.5,16.0,-0.30893309922701057,0.14849694105165412,0.0499296921943191
4.0,1.0,8.0,-0.38030380085044085,0.0970286856591892,0.08298903943392358
4.0,1.0,16.0,-0.48509526636718425,0.1024173332197837,0.15440527459413883
4.0,1.0,32.0,-0.541576525126595,0.1005371065634999,0.20194481985348625
8.0,0.75,4.0,-0.5513515166456101,0.11465716776633475,0.21121006592053793
8.0,0.75,8.0,-0.7507118788624204,0.12192359047608288,0.43436473951878796
16.0,0.5,4.0,-0.7599554662453384,0.17824231626869502,0.4529453718294448
8.0,0.75,16.0,-0.8535469180108763,0.12566689294708625,0.5805907272084057
16.0,0.5,8.0,-0.9767619811364323,0.18768113220530555,0.7911599037116143
8.0,1.0,4.0,-0.9950178820130466,0.051503871813144114,0.8168065187844057
8.0,1.0,8.0,-1.3456466418707522,0.02875563994211529,1.5752743484154368
8.0,1.0,16.0,-1.5808963722124656,0.011240599316630172,2.2229337601331514
16.0,0.75,4.0,-1.812358253914331,0.07844578065412752,2.959040509394898
16.0,0.75,8.0,-2.2173194103753704,0.07990257306698177,4.516151512949929
16.0,1.0,4.0,-3.135649914145816,-0.13573771407414617,9.315091163864524
16.0,1.0,8.0,-4.0195287474370325,-0.21454554264435735,15.518754706910284
8.0,0.5,32.0,Inf,Inf,1.0e10
8.0,0.75,32.0,Inf,Inf,1.0e10
8.0,1.0,32.0,Inf,Inf,1.0e10
16.0,0.25,32.0,Inf,Inf,1.0e10
16.0,0.5,16.0,Inf,Inf,1.0e10
16.0,0.5,32.0,Inf,Inf,1.0e10
16.0,0.75,16.0,Inf,Inf,1.0e10
16.0,0.75,32.0,Inf,Inf,1.0e10
16.0,1.0,16.0,Inf,Inf,1.0e10
16.0,1.0,32.0,Inf,Inf,1.0e10
