nest_definition,lambda,K_profile_clusters,bigma_threshold,n_firms,n_control,n_treated,n_reg_control,n_reg_firms,n_nests,min_nest_size,median_nest_size,max_nest_size,share_nests_with_treated,corr_wdiff_treated_exposure_control_all,corr_wdiff_treated_exposure_control_reg,mean_exposure_control,sd_exposure_control,mean_exposure_reg_control,sd_exposure_reg_control
ind_agg_x_commute_profile_cluster,0.5,5,0.5,5482,1867,3615,1203,3450,63,3,63.0,765,0.9523809523809523,0.025367117727316417,0.022681869819275544,1.0500541687609926,2.466973934906159,0.9992619026108532,2.370077231833733
ind_agg_x_commute_profile_cluster,0.5,10,0.5,5482,1867,3615,1203,3450,95,1,33.0,408,0.7894736842105263,0.032149052105801205,0.03296779191936804,0.6049723767710118,1.2673816394671042,0.5777539327126437,1.2286468992359074
ind_agg_x_commute_profile_cluster,0.5,15,0.5,5482,1867,3615,1203,3450,132,1,22.0,414,0.803030303030303,0.03446554302026376,0.02626136105588685,0.5438525012006212,1.206297401530071,0.5219160146022439,1.1637959909115723
ind_agg_x_commute_profile_cluster,0.5,20,0.5,5482,1867,3615,1203,3450,157,1,18.0,377,0.8152866242038217,0.02584254201697526,0.028797257353219405,0.4304086103054538,0.8961213151091374,0.41581908705899273,0.8779320952981532
ind_agg_x_commute_profile_cluster,1.0,5,0.5,5482,1867,3615,1203,3450,49,1,65.0,1052,0.9795918367346939,-0.04818932722368819,-0.0443260660952258,3.5493590937538726,3.8630738396521007,3.4629661052679044,3.745788646135579
ind_agg_x_commute_profile_cluster,1.0,10,0.5,5482,1867,3615,1203,3450,100,1,31.0,412,0.91,0.02513246777574923,0.055279338990830554,5.335941921179243,5.935407926098452,5.193405902788119,5.888137684969695
ind_agg_x_commute_profile_cluster,1.0,15,0.5,5482,1867,3615,1203,3450,117,1,24.0,425,0.905982905982906,0.024988735402517757,0.054339264849988765,5.263241500266716,5.968658798636863,5.11750000498814,5.915006414496898
ind_agg_x_commute_profile_cluster,1.0,20,0.5,5482,1867,3615,1203,3450,163,1,16.0,378,0.8159509202453987,0.0071655269813069656,0.012436010558713862,0.43188752964448435,1.5326508543490607,0.39061515540665354,1.3992964526467075
ind_agg_x_commute_profile_cluster,2.0,5,0.5,5482,1867,3615,1203,3450,54,1,54.5,905,0.7222222222222222,0.05428889636624725,0.06395138721086921,7.561770411905207,10.944460386330855,7.206925978207915,10.197986252859176
ind_agg_x_commute_profile_cluster,2.0,10,0.5,5482,1867,3615,1203,3450,121,1,28.0,291,0.8842975206611571,0.018631431659355272,0.01702158051404465,1.7212931101046445,5.940596648759202,1.5393486803478227,5.273522896034495
ind_agg_x_commute_profile_cluster,2.0,15,0.5,5482,1867,3615,1203,3450,176,1,17.0,359,0.8068181818181818,0.019371889655805635,0.01378139926699329,1.9481688802138835,6.365369026861049,1.7377030777603972,5.697524848715256
ind_agg_x_commute_profile_cluster,2.0,20,0.5,5482,1867,3615,1203,3450,198,1,13.5,411,0.6717171717171717,0.03653054447983467,0.03095668840001424,1.829575563295267,5.4471234557140855,1.6775070807686239,4.926081843480353
ind_agg_x_commute_profile_cluster,3.0,5,0.5,5482,1867,3615,1203,3450,62,2,47.5,707,1.0,0.020154525178381566,0.017131444445860317,5.356424394791783,12.978983477286338,4.939519767502265,11.879677748270526
ind_agg_x_commute_profile_cluster,3.0,10,0.5,5482,1867,3615,1203,3450,124,1,30.5,258,0.7258064516129032,0.018179904509345677,0.019545367320346733,2.306352935600738,9.404904957175425,2.0155564986411783,8.49537747208125
ind_agg_x_commute_profile_cluster,3.0,15,0.5,5482,1867,3615,1203,3450,176,1,20.0,291,0.8068181818181818,0.005876476896306649,0.004340097738626051,2.4108588221555016,9.492269285969844,2.1027200186030326,8.56529337181541
ind_agg_x_commute_profile_cluster,3.0,20,0.5,5482,1867,3615,1203,3450,236,1,13.5,229,0.7372881355932204,0.010349686946172025,0.00885067944511917,1.9159428208855431,7.667335540831871,1.6770926074390702,6.899377062381011
