model_mode,baseline_mode,employer_group,eta,theta,sigma,alpha,rho,kappa,n_wage_groups,n_employer_groups,n,n_control,n_treated,amenity_converged,amenity_iterations,amenity_gap,group_mass_gap,total_mass_gap,beta_labor_wdiff_post,beta_labor_wdiff_post_se,beta_labor_bigMA,beta_labor_bigMA_se,beta_labor_bigMA_wdiff,beta_labor_bigMA_wdiff_se,treated_wdiff_slope
static_group_transition,observed_wages_zero_amenities,ind_x_wage_group,0.9,10.0,0.25,0.8,0.0,0.0,10,125,3450,1203,2247,,,,2.7755575615628914e-17,1.1102230246251565e-16,5.297558366430276,0.4826156605895745,0.6859194631622765,0.29349258288791785,2.5811896436740596,0.5892958563012354,7.878748010104335
static_group_transition,observed_wages_zero_amenities,ind_x_wage_group,0.9,10.0,0.25,0.8,0.25,0.0,10,125,3450,1203,2247,,,,2.7755575615628914e-17,1.1102230246251565e-16,5.474455588423622,0.4744178418287681,0.6928515785962908,0.2885072514976831,2.5405665294751567,0.5792859436089076,8.015022117898779
static_group_transition,observed_wages_zero_amenities,ind_x_wage_group,0.9,10.0,0.25,0.8,0.5,0.0,10,125,3450,1203,2247,,,,2.7755575615628914e-17,1.1102230246251565e-16,5.5915304962398835,0.46967988399881483,0.692819133305138,0.2856259619029188,2.5183337816232396,0.5735006797964763,8.109864277863123
static_group_transition,observed_wages_zero_amenities,ind_x_wage_group,0.9,10.0,0.25,0.8,1.0,0.0,10,125,3450,1203,2247,,,,2.7755575615628914e-17,1.1102230246251565e-16,5.719756149322496,0.46488820082095067,0.6233145507614067,0.28271200036562855,2.3578726365404594,0.5676498148701825,8.077628785862956
static_group_transition,observed_wages_zero_amenities,ind_x_wage_group,0.9,10.0,0.25,0.8,2.0,0.0,10,125,3450,1203,2247,,,,2.7755575615628914e-17,1.1102230246251565e-16,5.968778522712032,0.46212554968148717,0.4501893221508922,0.28103195206891796,1.9269081357667979,0.5642764911224556,7.89568665847883
static_group_transition,observed_wages_zero_amenities,ind_x_wage_group,0.9,10.0,0.25,0.8,3.0,0.0,10,125,3450,1203,2247,,,,2.7755575615628914e-17,1.1102230246251565e-16,5.889346079734121,0.45924171562325294,0.4088569192917709,0.27927820892403665,1.8583499535793528,0.560755197472967,7.747696033313474
static_group_transition,observed_wages_zero_amenities,ind_x_wage_group,0.9,10.0,0.25,0.8,5.0,0.0,10,125,3450,1203,2247,,,,2.7755575615628914e-17,1.1102230246251565e-16,5.63171068273106,0.44900761057339555,0.4228805030236733,0.273054552772971,1.9561737901175655,0.5482588858293187,7.587884472848626
static_group_transition,observed_wages_zero_amenities,ind_x_wage_group,0.9,10.0,0.25,0.8,0.0,1.0,10,125,3450,1203,2247,,,,2.7755575615628914e-17,1.1102230246251565e-16,7.358567063717295,0.5361233162378611,0.7730419216345602,0.3260321404342031,2.7873853717609856,0.6546311579269818,10.14595243547828
static_group_transition,observed_wages_zero_amenities,ind_x_wage_group,0.9,10.0,0.25,0.8,0.25,1.0,10,125,3450,1203,2247,,,,2.7755575615628914e-17,1.1102230246251565e-16,7.518064284883248,0.5264412803380902,0.6663776078792785,0.3201442135476907,2.69748692069541,0.6428089480357305,10.21555120557866
static_group_transition,observed_wages_zero_amenities,ind_x_wage_group,0.9,10.0,0.25,0.8,0.5,1.0,10,125,3450,1203,2247,,,,2.7755575615628914e-17,1.1102230246251565e-16,7.615067749800158,0.5182957340061454,0.6093658515007511,0.31519067053776173,2.549750416636884,0.6328628623764694,10.164818166437042
static_group_transition,observed_wages_zero_amenities,ind_x_wage_group,0.9,10.0,0.25,0.8,1.0,1.0,10,125,3450,1203,2247,,,,2.7755575615628914e-17,1.1102230246251565e-16,7.873225815294554,0.5027132112524414,0.4622936437283656,0.3057144864344374,2.2244402782537605,0.6138358874161881,10.097666093548314
static_group_transition,observed_wages_zero_amenities,ind_x_wage_group,0.9,10.0,0.25,0.8,2.0,1.0,10,125,3450,1203,2247,,,,2.7755575615628914e-17,1.1102230246251565e-16,7.666082067986818,0.48117652520996673,0.40566012055120365,0.29261740291723376,1.9830472814774514,0.5875386059981198,9.64912934946427
static_group_transition,observed_wages_zero_amenities,ind_x_wage_group,0.9,10.0,0.25,0.8,3.0,1.0,10,125,3450,1203,2247,,,,2.7755575615628914e-17,1.1102230246251565e-16,7.239123138374473,0.47035539523542635,0.4541659320527398,0.28603675988108784,1.9944845619556593,0.5743255099980777,9.233607700330133
static_group_transition,observed_wages_zero_amenities,ind_x_wage_group,0.9,10.0,0.25,0.8,5.0,1.0,10,125,3450,1203,2247,,,,2.7755575615628914e-17,1.1102230246251565e-16,6.648838751737392,0.4550294952692355,0.442379432698618,0.27671663553894715,2.0695746354215068,0.555611883231117,8.718413387158899
