id,eta,alpha,theta,sigma,amenity,productivity,wage,employment,epsilon_j,markdown
163560221,0.1,0.8,1.42,0.12,0.0,1.0,1.0885484530168403,0.00014065110560703,11.796508669559199,1.0847708443245154
163560395,0.1,0.8,1.42,0.12,0.0,1.0,1.0323358632579285,0.0001823805965502057,11.638792689187033,1.0859195645721094
163560635,0.1,0.8,1.42,0.12,0.0,1.0,1.1775451313858947,9.499709549184932e-5,11.811553723138225,1.0846628668369895
163560758,0.1,0.8,1.42,0.12,0.0,1.0,1.173918092450876,9.646648210954819e-5,11.809274554397488,1.0846792066179565
163560993,0.1,0.8,1.42,0.12,0.0,1.0,1.191195215537387,8.968108419308226e-5,11.812767727475736,1.0846541659897422
163561136,0.1,0.8,1.42,0.12,0.0,1.0,1.0138467068317665,0.0002005594633231992,11.777258927359803,1.0849094009198434
163561937,0.1,0.8,1.42,0.12,0.0,1.0,1.0037434274961698,0.00021072666906147444,11.758469056530098,1.0850450849674727
163562163,0.1,0.8,1.42,0.12,0.0,1.0,1.026203413261241,0.00018874826667935005,11.773491134583297,1.0849365739158383
163562198,0.1,0.8,1.42,0.12,0.0,1.0,1.1832960469290077,9.269636173845704e-5,11.80679062579015,1.0846970215441656
163562358,0.1,0.8,1.42,0.12,0.0,1.0,1.1588521036322834,0.00010227740501381121,11.627697284736643,1.0860015509100562
163562569,0.1,0.8,1.42,0.12,0.0,1.0,1.1065252716720795,0.00012965725050537952,11.811927289128947,1.0846601892749836
16356285x,0.1,0.8,1.42,0.12,0.0,1.0,1.0229740773961038,0.0001918989423766242,11.797464556193857,1.0847639757879148
163563019,0.1,0.8,1.42,0.12,0.0,1.0,1.040463088239233,0.0001762368509743062,11.78596072031355,1.0848467107375017
163563166,0.1,0.8,1.42,0.12,0.0,1.0,1.2076348581301375,8.376800484388651e-5,11.822590999659457,1.0845838276929993
16356365x,0.1,0.8,1.42,0.12,0.0,1.0,1.008260885562087,0.00020606739798783972,11.761289124406664,1.0850246932476841
16356445x,0.1,0.8,1.42,0.12,0.0,1.0,0.9844937181099467,0.0002320894492699398,11.750672024350122,1.0851015157199322
163565030,0.1,0.8,1.42,0.12,0.0,1.0,0.9283970292992337,0.0003111493902178309,11.744983666639644,1.0851427322832634
