id,regime,eta,alpha,theta,sigma,amenity,productivity,wage,employment,epsilon_j,markdown
163560221,reinverted,0.1,0.8,1.42,0.12,-0.19008681886872483,0.9243233330770778,0.9515133586750106,4.5558214746015505e-5,11.821276442534245,1.0845932336377728
163560395,reinverted,0.1,0.8,1.42,0.12,0.4769164309844372,0.6820963905922568,0.5929998244725541,0.00010574005385951635,11.735471583919525,1.0852117439720315
163560635,reinverted,0.1,0.8,1.42,0.12,0.5059646783582096,0.44869896998661946,0.733936104889888,4.499576717476141e-6,11.832873497040337,1.0845103262745202
163560758,reinverted,0.1,0.8,1.42,0.12,1.492474191499922,0.5146137525948242,0.3807714639797705,0.0002373526718468462,11.806468358868026,1.0846993334165744
163560993,reinverted,0.1,0.8,1.42,0.12,1.9430781272800433,0.3094574981812608,0.24201310091687062,0.00017998306869901906,11.814260013726669,1.084643473128078
163561136,reinverted,0.1,0.8,1.42,0.12,1.5032817198294528,0.24909707776599074,0.20882690182772404,0.00012711304347058736,11.80438171452525,1.084714305601411
163561937,reinverted,0.1,0.8,1.42,0.12,1.356572878569822,0.33851472871907834,0.25088338115114933,0.00023510288571100345,11.766245107216047,1.0849888805551668
163562163,reinverted,0.1,0.8,1.42,0.12,0.01160967582902326,0.8203899358098665,0.6794328140643501,0.000134987303361669,11.779701087587336,1.084891797556199
163562198,reinverted,0.1,0.8,1.42,0.12,0.3864459744849547,0.5707830006661434,0.8609039306324928,6.749365076213286e-6,11.832430202351569,1.0845134924016928
163562358,reinverted,0.1,0.8,1.42,0.12,0.5982246669005035,1.3874209376050726,0.9443899592503796,0.0003565914548589464,11.506051034833979,1.086910791284738
163562569,reinverted,0.1,0.8,1.42,0.12,0.44260402026757334,1.1589979898708123,0.6640309613143539,0.0008492951143994702,11.68770464583226,1.0855599991874016
16356285x,reinverted,0.1,0.8,1.42,0.12,-0.62142600754439,2.8829132770105073,1.9443690847410768,0.00037683955365183197,11.777499302673933,1.0849076679438192
163563019,reinverted,0.1,0.8,1.42,0.12,-0.9430288423877171,1.1676726288499373,1.4974635906652525,1.518607162819025e-5,11.828241764391118,1.0845434190405625
163563166,reinverted,0.1,0.8,1.42,0.12,2.02014490469233,0.22424948462757746,0.2116708924681594,7.030588621069284e-5,11.829557080151721,1.0845340187485002
16356365x,reinverted,0.1,0.8,1.42,0.12,0.08864549940640427,0.8083780128862347,0.7962089335396089,5.680715659524553e-5,11.817386703807765,1.0846210778291434
16356445x,reinverted,0.1,0.8,1.42,0.12,0.042151065700935395,1.2260638456633721,0.8009592132016918,0.0004409585244331396,11.708052179987085,1.085411303658975
163565030,reinverted,0.1,0.8,1.42,0.12,-1.1617858531858143,1.3043209594417895,1.0949317716739482,0.00012598815062283598,11.739535853482009,1.0851822433595955
163565778,reinverted,0.1,0.8,1.42,0.12,-0.4066088477604531,3.698398661908328,1.4505432825665276,0.005443363004319081,10.67736229955234,1.0936560895795329
163566711,reinverted,0.1,0.8,1.42,0.12,0.3025585472090872,0.787500432895749,0.5642515209448516,0.0002784113132572577,11.770880350998826,1.0849554128646923
163566834,reinverted,0.1,0.8,1.42,0.12,1.0657115819475007,0.17217695714624656,0.37161321766576616,1.12489417936892e-6,11.833204279375762,1.084507963894692
163567247,reinverted,0.1,0.8,1.42,0.12,-1.056374615199166,0.9253280556564324,0.8830538044653008,6.636875791751171e-5,11.744927188781872,1.0851431417093114
163567343,reinverted,0.1,0.8,1.42,0.12,-0.7566891932998967,4.525762246256932,1.987091243968743,0.0031446417220605586,11.078853300329635,1.0902620490489072
163567490,reinverted,0.1,0.8,1.42,0.12,2.307123187080008,0.35252050934992873,0.19821034857633552,0.0009359119572365846,11.781142334432642,1.084881412312396
163567685,reinverted,0.1,0.8,1.42,0.12,0.4675122192381029,0.39358207210288987,0.457759924568248,2.474767218316218e-5,11.823028211939523,1.084580699806683
16356787x,reinverted,0.1,0.8,1.42,0.12,0.5159110307977747,0.8260617013334302,0.5424967654214231,0.0004285846864444773,11.645044925262013,1.0858734342733762
163567984,reinverted,0.1,0.8,1.42,0.12,-0.6913129563735321,2.889862425193433,1.8983931763829867,0.00042914713396581034,11.726365763391078,1.0852779130531587
